,ship_id,ship_time,ship_lat,ship_lon,turtle_id,turtle_time,turtle_lat,turtle_lon
0,[HB1303],2013-08-11 04:09:35,37.9133,-74.505,129775,2013-08-08 16:00:00,37.922037136,-74.59160219
1,[HB1304],2013-09-08 02:44:24,37.9167,-74.6367,129775,2013-09-06 16:00:00,37.963211305,-74.55924174
2,[HB1304],2013-09-08 00:18:00,38.1367,-74.4983,129775,2013-09-09 04:00:00,38.079766194,-74.52894228
3,[S11301],2013-06-19 23:38:23,39.7617,-73.1783,129777,2013-06-17 04:00:00,39.731599269,-73.23070679
4,[S11301],2013-06-19 23:38:23,39.7617,-73.1783,129777,2013-06-17 12:00:00,39.728926258,-73.23320202
5,[S11301],2013-06-19 23:38:23,39.7617,-73.1783,129777,2013-06-17 16:00:00,39.758342697,-73.23315117
6,[S11301],2013-06-19 23:38:23,39.7617,-73.1783,129777,2013-06-17 20:00:00,39.784801427,-73.19255465
7,[S11301],2013-06-19 05:09:35,39.0567,-73.355,129779,2013-06-18 16:00:00,39.035856836,-73.4562881
8,[S11301],2013-06-19 05:09:35,39.0567,-73.355,129779,2013-06-18 20:00:00,39.025453841,-73.45954157
9,[HB1304],2013-09-15 17:00:00,38.9483,-73.5983,129784,2013-09-15 08:00:00,38.981831969,-73.65119127
10,[HB1304],2013-09-15 17:00:00,38.9483,-73.5983,129784,2013-09-16 00:00:00,38.955913945,-73.49813589
11,[HB1205],2012-08-10 04:21:36,38.3767,-74.1783,118947,2012-08-08 04:00:00,38.379925089,-74.20646487
12,[HB1205],2012-08-10 04:21:36,38.3767,-74.1783,118947,2012-08-08 08:00:00,38.34287514,-74.20160283
13,[HB1205],2012-08-10 04:21:36,38.3767,-74.1783,118947,2012-08-09 00:00:00,38.388164826,-74.19968388
14,[HB1205],2012-08-10 04:21:36,38.3767,-74.1783,118947,2012-08-09 12:00:00,38.364954614,-74.24249255
